ID,SMILES,vdW_vol,LogP_JC_cap,pKa_cap
1931,Cc1cccc(CCN)c1C(N)C(=O)O,204.5839699,-0.047615067,9.763911966
1933,CCCc1cccc(N)c1C(N)C(=O)O,204.5839699,0.598166668,3.665049135
1949,CC(NCc1ccccc1)C(N)C(=O)O,204.5839699,0.076705513,8.096494214
1951,CNC(Cc1ccccc1)C(N)C(=O)O,204.5839699,0.008558763,8.692607716
1973,CCC(Nc1ccccc1)C(N)C(=O)O,204.5839699,0.513657205,4.368420807
1979,CC(CNc1ccccc1)C(N)C(=O)O,204.5839699,0.113843084,5.074606429
1987,CCNC(c1ccccc1)C(N)C(=O)O,204.5839699,0.076705513,8.086922888
1993,CNCC(c1ccccc1)C(N)C(=O)O,204.5839699,-0.391255358,9.806047469
1997,Cc1ccccc1NC(C)C(N)C(=O)O,204.5839699,0.5045562,4.276052841
1999,CNC(c1ccccc1C)C(N)C(=O)O,204.5839699,0.233318947,8.082609086
2003,CNc1ccccc1C(C)C(N)C(=O)O,204.5839699,0.150946062,3.970136569
2011,Cc1cccc(NC(C)C(N)C(=O)O)c1,204.5839699,0.5045562,4.443548712
2017,CNC(c1cccc(C)c1)C(N)C(=O)O,204.5839699,0.233318947,8.038199677
2027,Cc1ccc(NC(C)C(N)C(=O)O)cc1,204.5839699,0.5045562,4.767010339
2029,CNC(c1ccc(C)cc1)C(N)C(=O)O,204.5839699,0.233318947,8.050443203
2039,CNc1cccc(C(C)C(N)C(=O)O)c1,204.5839699,0.150946062,4.584384105
2053,CNc1ccc(C(C)C(N)C(=O)O)cc1,204.5839699,0.150946062,4.642694307
2063,CC(NCC(N)C(=O)O)c1ccccc1,204.5839699,0.076705513,8.09181539
